,Latency,msgdif,msg,SMA10,deviation,std_deviation,avg_std_deviation
0,202.3282,0.009999999999999787,8.22,,-2.5024747440272677,-0.12199493749395222,
1,202.62859999999992,0.009999999999999787,8.23,,-2.2020747440273567,-0.10735052227632033,
2,203.9888,0.009999999999999787,8.24,,-0.8418747440272796,-0.04104115616769873,
3,202.9983999999998,0.009999999999999787,8.25,,-1.8322747440274725,-0.08932287664556074,
4,203.0185,0.009999999999999787,8.26,,-1.8121747440272884,-0.08834300731840633,
5,203.0592,0.009999999999999787,8.27,,-1.7714747440272731,-0.0863588938052305,
6,202.9006,0.009999999999999787,8.28,,-1.93007474402728,-0.09409059904330376,
7,203.10089999999988,0.009999999999999787,8.29,,-1.7297747440273952,-0.08432603057429294,
8,202.9239,0.010000000000001563,8.3,,-1.906774744027274,-0.09295473061929906,
9,201.9995000000003,0.009999999999999787,8.31,202.89466,-2.831174744026981,-0.13801896972442104,26.26665630527362
10,202.1427999999998,0.009999999999999787,8.32,202.87611999999996,-2.687874744027482,-0.1310331351682295,26.26425612476665
11,202.85570000000018,0.009999999999999787,8.33,202.89883,-1.9749747440270937,-0.09627946137109716,26.26719615169833
12,203.09179999999972,0.009999999999999787,8.34,202.80912999999995,-1.7388747440275552,-0.08476965300599346,26.255583627886296
13,202.96450000000019,0.009999999999999787,8.35,202.80574000000001,-1.8661747440270915,-0.09097549207789192,26.25514475992953
14,202.9463999999996,0.009999999999999787,8.36,202.79852999999997,-1.884274744027664,-0.0918578619695284,26.254211356399036
15,203.16049999999998,0.009999999999999787,8.37,202.80865999999997,-1.6701747440272925,-0.08142054739528953,26.25552278188639
16,201.8953999999997,0.010000000000001563,8.38,202.70813999999993,-2.9352747440275664,-0.1430938153441431,26.242509505480758
17,205.03090000000049,0.009999999999999787,8.39,202.90114,0.2002252559732085,0.009760924718805472,26.267495203314894
18,202.91639999999938,0.009999999999999787,8.4,202.90038999999993,-1.9142747440278924,-0.09332035350259243,26.267398108634183
19,203.1213000000002,0.009999999999999787,8.41,203.01256999999993,-1.7093747440270874,-0.08333153633180197,26.2819208836758
20,202.9328000000001,0.009999999999999787,8.42,203.09156999999996,-1.8978747440271775,-0.09252085813115533,26.29214819004314
21,204.03359999999978,0.009999999999999787,8.43,203.20935999999992,-0.7970747440274977,-0.03885716881168372,26.30739723329641
22,202.9671999999998,0.009999999999999787,8.44,203.1968999999999,-1.863474744027485,-0.09084386783993635,26.305784167001004
23,203.0258000000007,0.009999999999999787,8.45,203.20302999999996,-1.8048747440265913,-0.08798713437866282,26.306577754191284
24,202.9169999999993,0.010000000000001563,8.46,203.20008999999993,-1.9136747440279862,-0.09329110367193595,26.306197143042926
25,202.0998,0.009999999999999787,8.47,203.09401999999994,-2.7308747440272896,-0.1331293730322626,26.2924653660001
26,202.9567000000005,0.009999999999999787,8.48,203.20015000000004,-1.873974744026782,-0.09135573987647058,26.306204910617396
27,203.0050999999995,0.009999999999999787,8.49,202.99756999999994,-1.82557474402779,-0.08899625353652774,26.27997899006175
28,203.1546000000004,0.009999999999999787,8.5,203.02139000000003,-1.676074744026863,-0.08170817073010234,26.283062717120874
29,202.79099999999949,0.009999999999999787,8.51,202.98835999999997,-2.039674744027792,-0.0994335681107486,26.278786667382725
30,203.0529000000003,0.009999999999999787,8.52,203.00036999999998,-1.7777747440269707,-0.08666601702715686,26.28034147686971
31,203.0035999999997,0.009999999999999787,8.53,202.89736999999997,-1.827074744027584,-0.08906937811317034,26.26700714071989
32,202.9950000000004,0.009999999999999787,8.54,202.90015000000002,-1.8356747440268748,-0.08948862568594426,26.26736703833637
33,203.0000999999996,0.010000000000001563,8.55,202.89757999999992,-1.8305747440276718,-0.08924000212536412,26.267034327230483
34,203.0013000000003,0.009999999999999787,8.56,202.90601,-1.8293747440269783,-0.0891815024640082,26.26812567144159
35,202.9990000000001,0.009999999999999787,8.57,202.99593000000004,-1.8316747440271683,-0.08929362681488485,26.279766676359962
36,202.94670000000002,0.009999999999999787,8.58,202.99492999999998,-1.883974744027256,-0.09184323705417799,26.279637216785684
37,202.9727000000001,0.009999999999999787,8.59,202.99169000000003,-1.8579747440271888,-0.09057574439219554,26.279217767765054
38,202.9844999999994,0.009999999999999787,8.6,202.97467999999992,-1.846174744027877,-0.09000049772256163,26.277015660406704
39,203.0455,0.009999999999999787,8.61,203.00012999999998,-1.7851747440272732,-0.08702676493865799,26.28031040657189
40,203.1560999999992,0.009999999999999787,8.62,203.0104499999999,-1.6745747440280638,-0.08163504615350822,26.281646429378345
41,201.8957000000014,0.010000000000001563,8.63,202.89966000000004,-2.9349747440258795,-0.14307919042873032,26.267303603144978
42,202.9436999999987,0.009999999999999787,8.64,202.8945299999999,-1.8869747440285778,-0.09198948620754771,26.266639475528955
43,205.7016000000011,0.009999999999999787,8.65,203.16468000000003,0.8709252559738161,0.04245736042612078,26.301612979518037
44,202.8767999999985,0.009999999999999787,8.66,203.15222999999986,-1.9538747440287807,-0.09525084232626554,26.30000120781835
45,203.0052000000015,0.009999999999999787,8.67,203.15285,-1.8254747440257688,-0.08899137856465236,26.300081472754417
46,202.9979999999991,0.009999999999999787,8.68,203.1579799999999,-1.8326747440281679,-0.08934237653270201,26.30074560037041
47,204.1371000000005,0.009999999999999787,8.69,203.27441999999994,-0.6935747440267903,-0.03381157302261678,26.31581987319842
48,204.3570999999993,0.009999999999999787,8.7,203.41167999999993,-0.47357474402798516,-0.023086635113620534,26.333589494362734
