Time,Message
707059.5931764,"0.00
"
707059.5944385,"0.00
"
707059.5955856,"0.00
"
707059.5970158,"0.00
"
707059.5980531,"0.00
"
707059.5996288,"0.00
"
707059.6009034,"0.00
"
707059.6022318,"0.00
"
707059.6036408,"0.00
"
707059.6045044,"0.00
"
707059.6058432,"0.00
"
707059.6072365,"0.00
"
707059.6085753,"0.00
"
707059.6099639,"0.00
"
707059.6110798,"0.00
"
707059.6125645,"0.00
"
707059.6138664,"0.00
"
707059.6150569,"0.00
"
707059.6164483,"0.00
"
707059.6177519,"0.00
"
707059.6188516,"0.00
"
707059.6204429,"0.00
"
707059.6214611,"0.00
"
707059.6226341,"0.00
"
707059.6239703,"0.00
"
707059.6253893,"0.00
"
707059.6265214,"0.00
"
707059.6281107,"0.00
"
707059.629408,"0.00
"
707059.6307186,"0.00
"
707059.6318315,"0.00
"
707059.6332907,"0.00
"
707059.6345762,"0.00
"
707059.6356927,"0.00
"
707059.637112,"0.00
"
707059.6382122,"0.00
"
707059.6395214,"0.00
"
707059.6408936,"0.00
"
707059.6420734,"0.00
"
707059.643639,"0.00
"
707059.6449237,"0.00
"
707059.6462285,"0.00
"
707059.6475844,"0.00
"
707059.6487624,"0.00
"
707059.6501284,"0.00
"
707059.6513973,"0.00
"
707059.6527168,"0.00
"
707059.6539404,"0.00
"
707059.6550817,"0.00
"
707059.656562,"0.00
"
707059.657697,"0.00
"
707059.6591378,"0.00
"
707059.6604394,"0.00
"
707059.6617458,"0.00
"
707059.6629924,"0.00
"
707059.6643449,"0.00
"
707059.6656029,"0.00
"
707059.6669318,"0.00
"
707059.6682478,"0.00
"
707059.6695281,"0.00
"
707059.6705859,"0.00
"
707059.6718658,"0.00
"
707059.6731485,"0.00
"
707059.674726,"0.00
"
707059.675985,"0.00
"
707059.6773021,"0.00
"
707059.6786279,"0.00
"
707059.6798918,"0.00
"
707059.6811824,"0.00
"
707059.6824452,"0.00
"
707059.6837151,"0.00
"
707059.6849991,"0.00
"
707059.6862737,"0.00
"
707059.6874341,"0.00
"
707059.6886328,"0.00
"
707059.6897955,"0.00
"
707059.6913416,"0.00
"
707059.6926067,"0.00
"
707059.6938377,"0.00
"
707059.6951663,"0.00
"
707059.6963892,"0.00
"
707059.6976331,"0.00
"
707059.6989639,"0.00
"
707059.700168,"0.00
"
707059.7015102,"0.00
"
707059.7027417,"0.00
"
707059.703755,"0.00
"
707059.7051365,"0.00
"
707059.7065562,"0.00
"
707059.7077841,"0.00
"
707059.7089159,"0.00
"
707059.7103206,"0.00
"
707059.711612,"0.00
"
707059.7128663,"0.00
"
