,Latency,msgdif,msg,SMA10,deviation,std_deviation,avg_std_deviation
0,503.86350000000004,0.00999999999999801,26.04,,-2.7115969594594276,-0.07573866361823346,
1,505.03830000000005,0.010000000000001563,26.05,,-1.5367969594594229,-0.04292487036319188,
2,1008.1387,0.019999999999999574,26.07,,501.5636030405405,14.00936701942967,
3,503.8589,0.00999999999999801,26.08,,-2.7161969594594666,-0.07586714799768059,
4,504.0045000000002,0.010000000000001563,26.09,,-2.5705969594592943,-0.0718003380743407,
5,503.9340999999995,0.010000000000001563,26.1,,-2.640996959459983,-0.07376670770762085,
6,504.03149999999994,0.00999999999999801,26.11,,-2.543596959459535,-0.07104619062977292,
7,504.0406000000006,0.010000000000001563,26.12,,-2.5344969594588633,-0.07079201500954573,
8,502.9585999999995,0.00999999999999801,26.13,,-3.616496959459994,-0.10101377556622937,
9,504.003,0.010000000000001563,26.14,554.38717,-2.5720969594594862,-0.0718422351546002,56.728317885515246
10,505.20600000000024,0.00999999999999801,26.15,554.5214199999999,-1.3690969594592275,-0.038240776790773714,56.742055174341985
11,502.98529999999977,0.010000000000001563,26.16,554.3161200000001,-3.5897969594597043,-0.10026800753769761,56.721047610869896
12,502.7607000000005,0.010000000000001563,26.17,503.77832,-3.814396959458975,-0.1065413970210636,51.54970790682408
13,504.1827999999988,0.00999999999999801,26.18,503.8107099999999,-2.3922969594606798,-0.06682017180150411,51.553022251592026
14,505.002300000001,0.010000000000001563,26.19,503.91049000000004,-1.5727969594584579,-0.04393040028926426,51.563232357209415
15,502.86469999999997,0.00999999999999801,26.2,503.80355,-3.7103969594595014,-0.1036365327901247,51.55228959618794
16,505.0626000000005,0.010000000000001563,26.21,503.9066600000001,-1.5124969594589857,-0.04224613766306262,51.562840447963936
17,502.8885999999986,0.00999999999999801,26.22,503.7914599999999,-3.6864969594608965,-0.10296897264478105,51.55105247274722
18,503.0484000000008,0.010000000000001563,26.23,503.80044,-3.5266969594586612,-0.09850553702831104,51.55197136178756
19,503.16770000000054,0.00999999999999801,26.24,503.7169100000001,-3.4073969594589357,-0.09517332257877288,51.543424056493734
20,503.7896999999987,0.010000000000001563,26.25,503.5752799999999,-2.7853969594607975,-0.07779999996677535,51.52893160050465
21,504.0010000000006,0.010000000000001563,26.26,503.67684999999994,-2.5740969594588705,-0.07189809792825519,51.53932486997305
22,503.35500000000087,0.00999999999999801,26.27,503.7362800000001,-3.2200969594586013,-0.08994177382436341,51.545406114479384
23,503.6623999999996,0.010000000000001563,26.28,503.68424000000016,-2.912696959459879,-0.08135566551098428,51.54008106039713
24,504.192999999999,0.00999999999999801,26.29,503.60330999999985,-2.382096959460455,-0.06653527165576968,51.531799803155025
25,503.8324000000003,0.010000000000001563,26.3,503.70007999999996,-2.742696959459181,-0.07660732974882906,51.5417019069894
26,504.22000000000014,0.00999999999999801,26.31,503.61581999999987,-2.355096959459331,-0.0657811242111638,51.533079903588714
27,502.9326000000012,0.010000000000001563,26.32,503.62022000000013,-3.642496959458299,-0.10173999162392043,51.53353013875327
28,503.81989999999985,0.00999999999999801,26.33,503.69737000000003,-2.7551969594596244,-0.0769564720842926,51.54142460305854
29,503.187699999998,0.010000000000001563,26.34,503.6993699999998,-3.387396959461455,-0.0946146948421214,51.54162925540602
30,503.85040000000106,0.010000000000001563,26.35,503.70544000000007,-2.724696959458413,-0.07610456478575793,51.54225037528075
31,503.0083999999988,0.00999999999999801,26.36,503.60617999999994,-3.5666969594606712,-0.09962279250181089,51.53209347927371
32,503.9374000000016,0.010000000000001563,26.37,503.66441999999995,-2.6376969594578554,-0.07367453413100232,51.53805295563327
33,504.14629999999863,0.00999999999999801,26.38,503.7128099999999,-2.42879695946084,-0.06783966742102596,51.54300451918131
34,503.90750000000037,0.010000000000001563,26.39,503.68426,-2.667596959459104,-0.07450968259743636,51.54008310692059
35,503.17150000000055,0.00999999999999801,26.4,503.61817,-3.4035969594589233,-0.09506718330879538,51.53332037009706
36,502.8624999999991,0.010000000000001563,26.41,503.48241999999993,-3.7125969594603703,-0.10369798184118838,51.51942959200967
37,504.1070000000012,0.010000000000001563,26.42,503.5998599999999,-2.4680969594582507,-0.06893737092361207,51.53144677785558
38,503.1345999999992,0.00999999999999801,26.43,503.5313299999999,-3.4404969594602903,-0.09609785148308538,51.52443436516808
39,503.75820000000004,0.010000000000001563,26.44,503.58838000000003,-2.8168969594594273,-0.078679838652074,51.530272073380864
40,504.0089000000023,0.00999999999999801,26.45,503.6042300000002,-2.5661969594571588,-0.07167743997220224,51.53189394323492
41,504.05119999999926,0.010000000000001563,26.46,503.7085100000002,-2.5238969594602167,-0.07049594230912094,51.542564516634194
42,503.8576999999975,0.00999999999999801,26.47,503.7005399999998,-2.7173969594619507,-0.07590066566195328,51.54174897702932
43,504.3304000000006,0.010000000000001563,26.48,503.71895000000006,-2.2446969594588495,-0.06269749910444573,51.543632801888194
44,503.6781999999995,0.00999999999999801,26.49,503.69602,-2.89689695945998,-0.08091434959897682,51.54128646272396
45,504.0802000000007,0.010000000000001563,26.5,503.78688999999997,-2.4948969594587993,-0.06968593209083468,51.55058484213316
46,503.9194000000009,0.010000000000001563,26.51,503.89258000000007,-2.6556969594585667,-0.07417729909407185,51.561399695437444
47,504.2438000000011,0.00999999999999801,26.52,503.9062600000001,-2.3312969594583706,-0.06511635720443797,51.56279951749443
48,503.84489999999715,0.010000000000001563,26.53,503.9772899999999,-2.7301969594623188,-0.07625818741346554,51.5700677456163
